,albedo,sza,o2a_slope_a,o2a_slope_b,o2a_inter_a,o2a_inter_b
0,0.05,30,0.719292251,0.328885363,0.652727622,1.736176293
1,0.05,45,0.799946542,0.245048196,0.283691851,1.215940836
2,0.05,60,1.983659419,0.418692597,0.131499229,0.862279756
3,0.1,30,0.373275749,0.526011315,0.364567604,1.471246856
4,0.1,45,0.163586874,1.83E-11,0.20438973,1.079351418
5,0.1,60,0.403426692,0.165787668,0.127052462,0.865853625
6,0.15,30,0.159669661,0.373759221,0.315027152,1.436055463
7,0.15,45,0.196973417,0.262798723,0.155154379,1.013689509
8,0.15,60,0.234898988,0.138975384,0.123341384,0.887636984
9,0.2,30,0.136644825,0.361051354,0.302392111,1.451388964
10,0.2,45,0.180096185,0.316587577,0.132808165,0.946698237
11,0.2,60,0.141590651,0.070536484,0.136546127,0.904010765
12,0.25,30,0.108613129,0.443056532,0.25940112,1.245888803
13,0.25,45,0.090751339,0.195186068,0.144615408,0.850865457
14,0.25,60,0.092444034,0.017740323,0.121696173,0.743025575
15,0.3,30,0.107849821,0.425085894,0.251258632,1.256849749
16,0.3,45,0.079402811,0.211072056,0.141256011,0.884174337
17,0.3,60,0.076449422,0.045648162,0.126988695,0.749364415
18,0.4,30,0.114379577,0.537658327,0.237130439,1.256755488
19,0.4,45,0.091489003,0.317092549,0.125910563,0.858310949
20,0.4,60,0.083277201,0.132000742,0.126493914,0.787278172
21,0.5,30,0.119231693,0.646645629,0.198086423,1.142429451
22,0.5,45,0.084093954,0.362048767,0.116715888,0.806072356
23,0.5,60,0.087453188,0.206265973,0.124388982,0.806103336